"설치장소",설치위치,운영시간,발급민원종류,소재지도로명주소,소재지지번주소,관리기관명,전화번호,위도,경도,데이터기준일자
"화정2동주민센터",청사 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 화신로 232 (화정동),경기도 고양시 덕양구 화정동 994,경기도 고양시 덕양구 화정2동주민센터,031-8075-5877,37.6305577,126.835702,2019-11-13
"덕양구청",청사 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 화중로104번길 13(화정동),경기도 고양시 덕양구 화정동 955,경기도 고양시 덕양구청,031-8075-5204,37.6374653,126.8322924,2019-11-13
"덕양구청(등기부전용)",지적민원실 내,09:00∼18:00,등기부등본(건물)+등기부등본(토지)+등기부등본(집합건물),경기도 고양시 덕양구 화중로104번길 13(화정동),경기도 고양시 덕양구 화정동 955,경기도 고양시 덕양구청,031-8075-5212,37.6374653,126.8322924,2019-11-13
"화정1동주민센터",주민센터 주차장내,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 화중로 197(화정동),경기도 고양시 덕양구 화정동 864,경기도 고양시 덕양구 화정1동주민센터,031-8075-5849,37.6446784,126.8334681,2019-11-13
"가좌도서관 및 보건소",도서관 입구,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산서구 가좌3로16 (가좌동),경기도 고양시 일산서구 가좌동 388-24,경기도 고양시 일산서구청,031-8075-7205,37.6861976,126.7202577,2019-11-13
"고양시청",종합민원실 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600,경기도 고양시청,031-8075-2462,37.6584145,126.8319597,2019-11-13
"동국대학교일산병원",병원동 1층 로비 중앙,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 동국로 27,경기도 고양시 일산동구 식사동 814,경기도 고양시 일산동구청,031-8075-6153,,,2019-11-13
"일산2동주민센터",청사 후문 행정게시판 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산서구 고봉로 283 (일산동),경기도 고양시 일산서구 일산동 1679,경기도 고양시 일산서구 일산2동주민센터,031-8075-7739,37.6846055,,2019-11-13
"주엽1동주민센터",청사 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산서구 강성로 109(주엽동),경기도 고양시 일산서구 주엽동 69,경기도 고양시 일산서구 주엽1동주민센터,031-8075-7833,,,2019-11-13
"일산서구청",청사 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산서구 중앙로 1542 (대화동),경기도 고양시 일산서구 대화동 2199,경기도 고양시 일산서구청,031-8075-7205,,,2019-11-13
"탄현동주민센터",청사 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산서구 홀트로 36 (탄현동),경기도 고양시 일산서구 탄현동 1488-3,경기도 고양시 일산서구 탄현동주민센터,031-8075-7806,,126.7684524,2019-11-13
"국립암센터",병원동 1층,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 일산로 323 (마두동),경기도 고양시 일산동구 마두동 809,경기도 고양시 일산동구청,031-8075-6203,37.6632258,126.7833999,2019-11-13
"행신1동주민센터",청사 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 중앙로 541-12,경기도 고양시 덕양구 행신동 992,경기도 고양시 덕양구 행신1동주민센터,031-8075-5910,37.6223194,126.8358877,2019-11-13
"신원도서관",청사 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 신원2로 24 (신원동),경기도 고양시 덕양구 토당동 454-3,경기도 고양시 덕양구 능곡동주민센터,031-8075-5833,37.6663828,126.8863592,2019-11-13
"능곡역",2층 대합실,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 토당로 35 (토당동),경기도 고양시 덕양구 신원동 608,경기도 고양시 덕양구 원신동주민센터,031-8075-5673,37.618962,126.820866,2019-11-13
"행신2동주민센터",청사 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 충경로 30,경기도 고양시 덕양구 행신동 717,경기도 고양시 덕양구 행신2동주민센터,031-8075-5935,37.6151651,126.8330311,2019-11-13
"고양동주민센터",주민센터 주차장내,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 벽제관로 5 (고양동),경기도 고양시 덕양구 고양동 195-1,경기도 고양시 덕양구 고양동주민센터,031-8075-5796,37.703319,,2019-11-13
"행신종합사회복지관",행신종합사회복지관 1층 안내데스크 앞,07:00~21:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 서정마을2로 13(행신동),경기도 고양시 덕양구 행신동 1064-1,경기도 고양시 덕양구 행신3동주민센터,031-8075-5960,37.621383,126.8471264,2019-11-13
