"설치장소",설치위치,운영시간,발급민원종류,소재지도로명주소,소재지지번주소,관리기관명,전화번호,위도,경도,데이터기준일자
"관산동주민센터",관산동주민센터,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 통일로 789(관산동),경기도 고양시 덕양구 통일로 789(관산동),경기도 고양시 덕양구 관산동주민센터,031-8075-5812,37.6880134,126.8625357,2019-11-13
"고양시지방법원",청사1층 로비,09:00∼18:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 장백로 206,경기도 고양시 일산동구 장항동 885-1,경기도 고양시 일산동구청,031-8075-6203,,,2019-11-13
"장항2동주민센터",주민센터 주차장내,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 노루목로 114 (장항동),경기도 고양시 일산동구 장항동 900,경기도 고양시 일산동구 장항2동주민센터,031-8075-6937,37.6498818,126.7783168,2019-11-13
"일산동구청",청사1층 로비,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 중앙로 1256 (마두동),경기도 고양시 일산동구 마두동 815,경기도 고양시 일산동구청,031-8075-6203,37.6588817,126.7749581,2019-11-13
"일산동구청",청사1층 로비,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 중앙로 1256 (마두동),경기도 고양시 일산동구 마두동 815,경기도 고양시 일산동구청,031-8075-6203,37.6588817,126.7749581,2019-11-13
"풍산동주민센터",청사 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 숲속마을1로 36 (풍동),경기도 고양시 일산동구 풍동 349-16,경기도 고양시 일산동구 풍산동주민센터,031-8075-6782,37.6640838,126.7998632,2019-11-13
"국민건강보험공단 일산병원",본관 1층 로비,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 일산로 100,경기도 고양시 일산동구 백석동 1232,경기도 고양시 일산동구청,031-8075-6203,37.645418,126.793067,2019-11-13
"고양세무서",1층 민원실 내,평일09:00~18:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 중앙로1275번길 14-43(장항동),경기도 고양시 일산동구 장항동 774,경기도 고양시 일산동구청,031-8075-6203,,126.770262,2019-11-13
"창릉동주민센터",주민센터 현관 좌측,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 동세로 30(동산동),경기도 고양시 덕양구 동산동 360,경기도 고양시 덕양구 창릉동주민센터,031-8075-5779,,,2019-11-13
"삼송역",지하1층 개찰구 옆,05:00~24:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 삼송로 지하 194,경기도 고양시 덕양구 삼송동 18-5,경기도 고양시 덕양구 신도동주민센터,031-8075-5759,,,2019-11-13
"명지병원",1층 로비,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 화수로14번길 55,경기도 고양시 덕양구 화정동 697-1,경기도 고양시 덕양구청,031-8075-5204,37.642106,,2019-11-13
"원흥종합사회복지관",1층 입구,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 삼원로 102(원흥동),경기도 고양시 덕양구 원흥동 717,경기도 고양시 덕양구 흥도동주민센터,031-8075-5687,,,2019-11-13
"동고양세무서",3층 민원실,평일09:00~18:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 화중로104번길 16(화정동),경기도 고양시 덕양구 화정동 968-2,경기도 고양시 덕양구청,031-8075-5204,37.636026,,2019-11-13
"성사1동주민센터",청사1층 현관 안쪽,평일09:00~18:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 호국로790번길 101(성사동),경기도 고양시 덕양구 성사동 408-1,경기도 고양시 덕양구 성사1동주민센터,031-8075-5706,,,2019-11-13
"행신역",2층 대합실 입구 안쪽 좌측,05:00~24:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 소원로 114(행신동),경기도 고양시 덕양구 행신동 519-3,경기도 고양시 덕양구 행신2동주민센터,031-8075-5935,,,2019-11-13
"일산서구청",1층 로비,평일 09:00~18:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산서구 중앙로 1600(대화동),경기도 고양시 일산서구 대화동 2321,경기도 고양시 일산서구청,031-8075-7205,,,2019-11-13
"일산복음병원",1층 로비,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 고양대로 760(중산동),경기도 고양시 일산동구 고양대로 760,경기도 고양시 일산동구청,031-8075-6153,,,2019-11-13
"지축역",1층 입구,05:00~24:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 지축동 695-28,경기도 고양시 덕양구 지축동 695-28,경기도 고양시 덕양구 효자동,031-8075-5743,,,2019-11-13
"신도농협 향동지점",365코너,06:00~24:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 향기로 68 모아프라자 2층,경기도 고양시 향동동 292-85,경기도 고양시 덕양구 화전동,031-8075-5973,,,2019-11-13
