"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
218-1-000001,노상 1권역,공영,노상,경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600,97,3,요일제,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,30,300,10,100,,,,신용카드+현금,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4847,37.6584145,126.8319597,2019-12-17
218-1-000002,노상 3권역,공영,노상,경기도 고양시 덕양구 은빛로 39,경기도 고양시 덕양구 화정동 909,123,1,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,900,10,300,,,,신용카드+현금,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4847,37.63819323,126.8322273,2019-12-17
218-1-000003,노상 4권역,공영,노상,경기도 고양시 덕양구 중앙로 555,경기도 고양시 덕양구 행신동 995,11,1,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,900,10,300,,,,신용카드+현금,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4847,37.62297865,126.8356824,2019-12-17
218-2-000001,주교제1,공영,노외,경기도 고양시 덕양구 고양대로 1330,경기도 고양시 덕양구 주교동 206-1,359,3,요일제,평일,08:00,20:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.65559958,126.8317801,2019-12-17
218-2-000002,주교제2,공영,노외,경기도 고양시 덕양구 마상로126번길 91,경기도 고양시 덕양구 주교동 611-2,60,3,요일제,평일,09:00,20:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,11,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,,,2019-12-17
218-2-000003,화정환승,공영,노외,,경기도 고양시 덕양구 화정동 963,253,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.63495085,126.8330457,2019-12-17
218-2-000004,행신제1,공영,노외,경기도 고양시 덕양구 무원로 54번길 14,경기도 고양시 덕양구 행신동 728,40,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.61751878,126.8331889,2019-12-17
218-2-000005,행신제2,공영,노외,경기도 고양시 덕양구 용현로 49-13,경기도 고양시 덕양구 행신동 748,44,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.61712126,126.834984,2019-12-17
218-2-000006,행신제3,공영,노외,경기도 고양시 덕양구 무원로 16,경기도 고양시 덕양구 행신동 711,43,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.61427789,126.8325302,2019-12-17
218-2-000007,행신제4,공영,노외,경기도 고양시 덕양구 무원로 14,경기도 고양시 덕양구 행신동 710,44,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.6140941,126.8325397,2019-12-17
218-2-000008,행신제5,공영,노외,경기도 고양시 덕양구 용현로 15-1,경기도 고양시 덕양구 행신동 759,49,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.61427834,126.8354071,2019-12-17
218-2-000009,행신제6,공영,노외,경기도 고양시 덕양구 용현로 15,경기도 고양시 덕양구 행신동 764,46,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.61410536,126.8354165,2019-12-17
218-2-000010,고양제1,공영,노외,경기도 고양시 덕양구 벽제관로 8,경기도 고양시 덕양구 고양동 195-2,94,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,37.70381762,126.9036248,2019-12-17
218-2-000011,고양제2,공영,노외,경기도 고양시 덕양구 혜음로 103,경기도 고양시 덕양구 고양동 444-1,31,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,37.70958575,126.9015579,2019-12-17
218-2-000012,성사제1,공영,노외,경기도 고양시 덕양구 고양대로1384번길 7-17,경기도 고양시 덕양구 성사동 720,22,2,요일제,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,11,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.65355843,126.8385705,2019-12-17
218-2-000013,성사제2,공영,노외,경기도 고양시 덕양구 고양대로1384번길 7-17,경기도 고양시 덕양구 성사동 721,33,2,요일제,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,11,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.65355843,126.8385705,2019-12-17
218-2-000014,원당환승,공영,노외,경기도 고양시 덕양구 호국로790번길102,경기도 고양시 덕양구 성사동 394,294,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,24,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.65408443,126.8410987,2019-12-17
218-2-000015,행신제7,공영,노외,경기도 고양시 덕양구 행당로 33번길 75,경기도 고양시 덕양구 행신동 633-101,24,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,37.62115197,126.8309471,2019-12-17
218-2-000016,행신제9,공영,노외,경기도 고양시 덕양구 소원로 181번길 38,경기도 고양시 덕양구 행신동 805,48,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.61461343,126.8432985,2019-12-17
218-2-000017,신도공영,공영,노외,경기도 고양시 덕양구 통일로 214번안길 26-7,경기도 고양시 덕양구 지축동 766-11,15,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,37.65627908,126.9001052,2019-12-17
218-2-000018,서정 제1,공영,노외,경기도 고양시 덕양구 서정마을1로 4-9,경기도 고양시 덕양구 행신동 1080-5,30,1,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,600,10,200,12,8000,90000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.6187933,126.8454871,2019-12-17
218-2-000019,서정 제2,공영,노외,경기도 고양시 덕양구 서정마을1로 16,경기도 고양시 덕양구 행신동 1079-1,29,1,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,600,10,200,12,8000,90000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.61866112,126.8463845,2019-12-17
218-2-000020,행신 제4,공영,노외,경기도 고양시 덕양구 무원로 14,경기도 고양시 덕양구 행신동 1007-2,111,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,,,2019-12-17
218-3-000001,고양시청 부설주차장,공영,부설,경기도 고양시 덕양구 고양시청로10,경기도 고양시 덕양구 주교동 600,140,기타,요일제,평일,08:00,20:00,00:00,00:00,00:00,00:00,혼합,60,0,60,1000,12,,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,37.6584145,126.8319597,2019-12-17
218-3-000002,덕양구청 부설주차장,공영,부설,경기도 고양시 덕양구 화중로104번길 13,경기도 고양시 덕양구 화정동 955,309,기타,요일제,평일,08:00,21:00,00:00,00:00,00:00,00:00,혼합,60,0,60,1000,13,,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,37.63746533,126.8322924,2019-12-17
218-3-000003,행주산성 부설주차장 상,공영,부설,경기도 고양시 덕양구 행주로15번길 89,경기도 고양시 덕양구 행주외동 116,83,3,요일제,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,1000,10,100,9,,,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,37.59564085,126.8268514,2019-12-17
218-3-000004,행주산성 부설주차장 하,공영,부설,경기도 고양시 덕양구 행주로15번길 89,경기도 고양시 덕양구 행주외동 116,165,3,요일제,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,1000,10,100,9,,,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,37.59564085,126.8268514,2019-12-17
219-1-000001,노상 7권역,공영,노상,경기도 고양시 일산서구 강선로 67,경기도 고양시 일산서구 주엽동 65,179,1,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,900,10,300,,,,신용카드+현금,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4847,37.67017485,126.7649178,2019-12-17
219-2-000001,탄현5(공영),공영,노외,,경기도 고양시 일산서구 탄현동 1489,57,2,요일제,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,10,6000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,,,2019-12-17
219-2-000002,탄현제1,공영,노외,경기도 고양시 일산서구 일현로 41번길 11,경기도 고양시 일산서구 탄현동 1561,50,2,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,12,6000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.69092365,126.7618817,2019-12-17
219-2-000003,탄현제2,공영,노외,경기도 고양시 일산서구 산현로 17번길 35,경기도 고양시 일산서구 탄현동 1573-9,39,2,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,12,6000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.69112506,126.7634684,2019-12-17
219-2-000004,탄현제3,공영,노외,경기도 고양시 일산서구 탄중로 244-2,경기도 고양시 일산서구 탄현동 1589,79,2,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,12,6000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.69276803,126.7724158,2019-12-17
219-2-000005,탄현제4,공영,노외,,경기도 고양시 일산서구 탄현동 1596,47,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,,,2019-12-17
219-2-000006,일산제1,공영,노외,경기도 고양시 일산서구 고양대로 730,경기도 고양시 일산서구 일산동 1673-5,20,2,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,12,6000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.68279399,126.7770081,2019-12-17
219-2-000007,일산제2,공영,노외,,경기도 고양시 일산서구 일산동 1681-3,5,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,,,2019-12-17
219-2-000008,전시장공영,공영,노외,경기도 고양시 일산서구 킨텍스로 237-18,경기도 고양시 일산서구 대화동 2600-4,282,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,12,6000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.66719771,126.7473409,2019-12-17
219-2-000009,탄현환승,공영,노외,경기도 고양시 일산서구 일현로 지하 97-27,경기도 고양시 일산서구 탄현동 1636,233,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.69535181,126.7613687,2019-12-17
219-2-000010,일산역,공영,노외,,경기도 고양시 일산서구 일산동 1681-3,27,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,,,2019-12-17
219-2-000011,대화(임시),공영,노외,,경기도 고양시 일산서구 대화동 2037,25,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양시 철도교통과,031-8075-2923,,,2019-12-17
219-2-000012,탄현6,공영,노외,,경기도 고양시 일산서구 탄현동 1651,37,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양시 철도교통과,031-8075-2923,,,2019-12-17
219-3-000001,일산종합 사회복지관,공영,부설,경기도 고양시 일산서구 고양대로 654 (일산동),경기도 고양시 일산서구 일산동 620-3,99,2,요일제,평일,08:00,20:00,00:00,00:00,00:00,00:00,혼합,30,500,10,200,12,6000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,37.68451108,126.7685049,2019-12-17
219-3-000002,종합운동장 1,공영,부설,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2321,168,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,혼합,30,200,10,100,,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,37.6764217,126.7430656,2019-12-17
219-3-000003,종합운동장 2,공영,부설,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2321,336,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,혼합,30,200,10,100,,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,37.6764217,126.7430656,2019-12-17
219-3-000004,일산서구청 부설주차장,공영,부설,경기도 고양시 일산서구 중앙로 1600,경기도 고양시 일산서구 대화동 2321,366,기타,요일제,평일+토요일+공휴일,08:00,21:00,00:00,00:00,00:00,00:00,혼합,60,0,60,1000,13,,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,37.6779725,126.7452458,2019-12-17
241-1-000001,노상 5권역,공영,노상,경기도 고양시 일산동구 강석로 2,경기도 고양시 일산동구 백석동 1283-2,147,1,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,900,10,300,,,,신용카드+현금,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4847,,,2019-12-17
241-1-000002,노상 6권역,공영,노상,경기도 고양시 일산동구 중앙로1261번길 61,경기도 고양시 일산동구 장항동 864,214,1,요일제,평일+토요일+공휴일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,900,10,300,,,,신용카드+현금,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4847,,,2019-12-17
241-2-000001,장항제1,공영,노외,경기도 고양시 일산동구 무궁화로32-19,경기도 고양시 일산동구 장항동 777,193,1,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,600,10,200,,8000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.66203396,126.7687424,2019-12-17
241-2-000002,장항제2,공영,노외,경기도 고양시 일산동구 고봉로 32-35,경기도 고양시 일산동구 장항동 732,195,1,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,600,10,200,,8000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.6637749,126.7670369,2019-12-17
241-2-000003,장항제3,공영,노외,경기도 고양시 일산동구 무궁화로 19-19,경기도 고양시 일산동구 장항동 743,215,1,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,600,10,200,,8000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.66280348,126.7660472,2019-12-17
241-2-000004,장항제4,공영,노외,경기도 고양시 일산동구 무궁화로 20-28,경기도 고양시 일산동구 장항동 758,214,1,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,600,10,200,,8000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.66100858,126.7677936,2019-12-17
241-2-000005,복지회관건립부지,공영,노외,경기도 고양시 일산동구 중앙로1275번길 14-27,경기도 고양시 일산동구 장항동 772,132,1,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,600,10,200,,8000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.66070141,126.771054,2019-12-17
241-2-000006,백석1,공영,노외,경기도 고양시 일산동구 장백로 31-12,경기도 고양시 일산동구 백석동 1311,247,4,요일제,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,200,10,100,12,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.64058987,126.7875174,2019-12-17
241-2-000007,백석2,공영,노외,경기도 고양시 일산동구 장백로15-7,경기도 고양시 일산동구 백석동 1315,166,4,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.63962374,126.7893737,2019-12-17
241-2-000008,중산제1,공영,노외,경기도 고양시 일산동구 고봉로278,경기도 고양시 일산동구 중산동 1667,9,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,,,2019-12-17
241-2-000009,중산제2,공영,노외,,경기도 고양시 일산동구 중산동 1659,10,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,,,2019-12-17
241-2-000010,풍동제1,공영,노외,,경기도 고양시 일산동구 풍동 1244,57,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,,,2019-12-17
241-2-000011,풍동제2,공영,노외,경기도 고양시 일산동구 숲속마을로 50-88,경기도 고양시 일산동구 풍동 1272,76,2,요일제,평일,09:00,22:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,13,6000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.66772432,126.7980626,2019-12-17
241-2-000012,풍동제3,공영,노외,경기도 고양시 일산동구 숲속마을로 50-88,경기도 고양시 일산동구 풍동 1276,59,2,요일제,평일,09:00,22:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,13,6000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.66772432,126.7980626,2019-12-17
241-2-000013,백석환승터미널,공영,노외,경기도 고양시 일산동구 중앙로 1036,경기도 고양시 일산동구 백석동 1242,300,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.64317774,126.7896628,2019-12-17
241-2-000014,중산제3,공영,노외,,경기도 고양시 일산동구 중산동 1726,32,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,,,2019-12-17
241-2-000015,백마역,공영,노외,경기도 고양시 일산동구 경의로 318,경기도 고양시 일산동구 마두동 747,31,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,37.65832268,126.794457,2019-12-17
241-2-000016,정발산(임시),공영,노외,,경기도 고양시 일산동구 정발산동 815,27,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양시 철도교통과,031-8075-2923,,,2019-12-17
241-2-000017,백석(임시),공영,노외,,경기도 고양시 일산동구 백석동 1148,27,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양시 철도교통과,031-8075-2923,,,2019-12-17
241-2-000018,마두(임시),공영,노외,,경기도 고양시 일산동구 마두동 921,25,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양시 철도교통과,031-8075-2923,,,2019-12-17
241-3-000001,동구청 부설주차장,공영,부설,경기도 고양시 일산동구 중앙로 1256,경기도 고양시 일산동구 마두동 815,274,기타,요일제,평일,08:00,21:00,00:00,00:00,00:00,00:00,혼합,60,0,60,1000,13,,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,37.65888174,126.7749581,2019-12-17
241-3-000002,호수공원 부설주차장 1,공영,부설,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,248,3,요일제,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,유료,30,300,10,100,13,,,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,,,2019-12-17
241-3-000003,호수공원 부설주차장 2,공영,부설,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,512,3,요일제,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,유료,30,300,10,100,13,,,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,,,2019-12-17
241-3-000004,호수공원 부설주차장 3,공영,부설,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,54,3,요일제,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,유료,30,300,10,100,13,,,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,,,2019-12-17
241-3-000005,호수공원 부설주차장 4,공영,부설,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,125,3,요일제,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,유료,30,300,10,100,13,,,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,,,2019-12-17
241-3-000006,중산공원 부설주차장,공영,부설,경기도 고양시 일산동구 중산로 217,경기도 고양시 일산동구 중산동 1565,103,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,혼합,30,300,10,100,12,,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4849,37.69150284,126.7798982,2019-12-17
